,municipio,V1,V2,V3,V8,V9,V10,V17,V20,V21,V25,V26,V34,V39,uf
144,ITABUNA,923.0,32.2231,2.54821,11.3759,42.3619,28.8191,45.2789,14.8429,13.5428,0.0,0.0,13.5428,57.2048,BA
145,PIRIPA,1031.0,15.556,3.1581,28.904,0.484966,63.0456,49.5942,53.9282,11.5422,750.808,0.0,1.06693,61.1057,BA
146,NOVO SAO JOAQUIM,823.0,473.228,4.90401,6.68287,1.09356,91.0085,49.7857,54.7995,35.723,6068.05,3284.91,48.4775,50.4253,MT
147,CONDEUBA,2730.0,19.8368,2.77656,33.2967,0.3663,58.315,38.0957,41.2821,13.1502,581.268,0.0,8.1685,67.5824,BA
148,FIRMINO ALVES,207.0,79.9977,2.89372,5.7971,19.3237,74.8792,88.5082,42.9952,32.3671,750.0,0.0,5.31401,36.2319,BA
149,PRESIDENTE JANIO QUADROS,2104.0,25.7094,2.56844,23.0513,0.190114,69.8669,48.583,59.6483,10.5989,288.984,0.0,14.211,48.8593,BA
150,MAETINGA,953.0,22.7199,2.75341,23.9244,0.0,62.4344,44.2604,40.6086,10.2833,476.462,0.0,21.6159,67.1563,BA
151,JACARACI,2493.0,30.0467,2.77577,26.3939,0.722022,70.718,32.4927,46.9715,21.0991,603.483,0.0,9.74729,67.3486,BA
152,CACULE,2499.0,16.788,2.59584,23.9696,4.0016,64.3858,34.4348,30.6122,22.8491,860.292,0.0,10.6485,63.3854,BA
153,PLANALTO,1571.0,30.1661,3.3902,19.2871,30.3628,39.147,69.6237,29.7899,12.7307,1050.23,0.0,21.6423,58.5614,BA
154,GUAJERU,1867.0,21.5244,3.11087,24.5313,0.267809,68.8806,33.7194,48.8484,16.4435,726.91,0.0,12.2186,62.1318,BA
155,CARINHANHA,2550.0,54.7398,3.67882,20.2353,1.80392,74.5098,45.4778,65.8824,7.88235,4075.56,4564.78,51.2358,56.2745,BA
156,LICINIO DE ALMEIDA,1458.0,31.6605,3.5096,27.2977,11.2483,58.9163,29.7357,39.5748,24.3484,596.546,0.0,22.9767,59.8765,BA
157,FELIXLANDIA,602.0,153.569,4.54153,17.1096,0.664452,76.9103,43.6415,37.7076,44.0199,4566.66,3300.0,17.7741,49.3355,MG
158,ANAGE,2475.0,23.0535,2.92525,18.303,4.32323,71.1515,45.2596,30.2222,16.3636,717.271,0.0,4.88401,54.8283,BA
159,JANUARIA,3418.0,95.2023,3.42218,12.9315,0.351083,83.7332,39.2117,54.6811,13.1949,1950.3,1089.55,5.09368,68.3148,MG
160,RIO DO ANTONIO,2454.0,14.9027,2.51467,31.9071,0.570497,63.8957,28.0149,36.1858,23.1459,686.815,0.0,24.9796,64.3032,BA
161,PLANALTO DA SERRA,253.0,844.007,5.39526,8.69565,0.790514,89.7233,56.8454,88.5376,1.18577,3932.53,3449.39,11.0672,86.9565,MT
162,ALTO PARAGUAI,617.0,170.844,2.79254,16.0454,2.10697,78.282,53.3453,54.1329,17.342,4000.03,3247.06,27.5527,44.4084,MT
163,ARAGUAIANA,251.0,1650.97,4.22709,2.78884,0.0,96.4143,65.8754,86.4542,5.9761,1591.22,3040.0,23.9044,24.3028,MT
164,MALHADA DE PEDRAS,1662.0,19.637,2.57401,31.3478,0.78219,64.3201,32.8095,34.5969,19.9759,497.716,900.0,36.1613,71.6607,BA
165,PONTES E LACERDA,1302.0,488.731,3.58295,10.0614,1.07527,86.8664,60.688,48.1567,34.3318,4863.03,3759.01,62.0584,51.8433,MT
166,CAMAPUA,974.0,590.257,3.52361,6.87885,0.513347,91.1704,72.4714,76.8994,15.1951,3654.81,2982.7,9.44559,23.1006,MS
167,FLORES DE GOIAS,1790.0,165.991,3.8514,16.2011,0.27933,80.2235,60.5377,77.5419,7.5419,4046.43,2980.23,14.5251,44.0782,GO
168,MANOEL VITORINO,1703.0,71.3921,2.33588,34.3511,3.05344,49.9706,33.7024,40.9865,14.9736,466.922,0.0,5.59567,35.9366,BA
